id,created,modified,logo,safa_id,name,acronym,website,headquarters,description,association_id,region_id
1,2025-06-09 12:53:29.409550,2025-06-09 12:53:29.409581,,L7Q12,MATATIELE LFA,,,,,4,1
2,2025-06-09 12:53:29.412315,2025-06-09 12:53:29.412336,,2CYF8,MBIZANA LFA,,,,,4,1
3,2025-06-09 12:53:29.414551,2025-06-09 12:53:29.414571,,QHCXN,NTABANKULU LFA,,,,,4,1
4,2025-06-09 12:53:29.418371,2025-06-09 12:53:29.418403,,AN2RE,UMZIMVUBU LFA,,,,,4,1
5,2025-06-09 12:53:29.426088,2025-06-09 12:53:29.426108,,GOKLU,SAFA AMAHLATHI LFA,,,,,4,2
6,2025-06-09 12:53:29.428325,2025-06-09 12:53:29.428344,,6AKFQ,SAFA GREAT KEI LFA,,,,,4,2
7,2025-06-09 12:53:29.430463,2025-06-09 12:53:29.430482,,F5EUW,SAFA MBASHE LFA,,,,,4,2
8,2025-06-09 12:53:29.432636,2025-06-09 12:53:29.432670,,ZUN0Y,SAFA MNGUMA LFA,,,,,4,2
9,2025-06-09 12:53:29.437451,2025-06-09 12:53:29.437498,,OG1JB,SAFA NGQUSHWA LFA,,,,,4,2
10,2025-06-09 12:53:29.441537,2025-06-09 12:53:29.441569,,SOWZI,SAFA NKONKOBE LFA,,,,,4,2
11,2025-06-09 12:53:29.444264,2025-06-09 12:53:29.444288,,LVI0U,SAFA NXUBA LFA,,,,,4,2
12,2025-06-09 12:53:29.449291,2025-06-09 12:53:29.449323,,A8TI7,SAFA BUNKERS WEST LFA,,,,,4,3
13,2025-06-09 12:53:29.454917,2025-06-09 12:53:29.454968,,UG7BO,SAFA EAST LONDON CENTRAL LFA,,,,,4,3
14,2025-06-09 12:53:29.458627,2025-06-09 12:53:29.458680,,AVA7Q,SAFA EAST LONDON NORTH LFA,,,,,4,3
15,2025-06-09 12:53:29.461155,2025-06-09 12:53:29.461176,,IVN2O,SAFA EAST LONDON WEST LFA,,,,,4,3
16,2025-06-09 12:53:29.463365,2025-06-09 12:53:29.463383,,A39JB,SAFA KING CENTRAL LFA,,,,,4,3
17,2025-06-09 12:53:29.465539,2025-06-09 12:53:29.465558,,XWCC6,SAFA KING EAST LFA,,,,,4,3
18,2025-06-09 12:53:29.470212,2025-06-09 12:53:29.470260,,GAYZ5,SAFA MDANTSANE LFA,,,,,4,3
19,2025-06-09 12:53:29.473745,2025-06-09 12:53:29.473774,,6QERE,SAFA ROYAL RHARHABE LFA,,,,,4,3
20,2025-06-09 12:53:29.478732,2025-06-09 12:53:29.478751,,B670W,SAFA EMALAHLENI LFA,,,,,4,4
21,2025-06-09 12:53:29.480900,2025-06-09 12:53:29.480919,,1PXFE,SAFA ENGCOBO LFA,,,,,4,4
22,2025-06-09 12:53:29.484333,2025-06-09 12:53:29.484444,,Q5K5S,SAFA INKWANCA LFA,,,,,4,4
23,2025-06-09 12:53:29.488818,2025-06-09 12:53:29.488880,,VO4YX,SAFA INTSIKA YETHU LFA,,,,,4,4
24,2025-06-09 12:53:29.491406,2025-06-09 12:53:29.491431,,GCX8N,SAFA INXUBA YETHEMBA LFA,,,,,4,4
25,2025-06-09 12:53:29.493646,2025-06-09 12:53:29.493686,,0C7DG,SAFA LUKHANJI LFA,,,,,4,4
26,2025-06-09 12:53:29.496208,2025-06-09 12:53:29.496233,,V2EXP,SAFA SAKHISIZWE LFA,,,,,4,4
27,2025-06-09 12:53:29.500288,2025-06-09 12:53:29.500337,,FE9VK,SAFA TSOLWANA LFA,,,,,4,4
28,2025-06-09 12:53:29.506167,2025-06-09 12:53:29.506186,,3EO8Q,SAFA ELUNDI LFA,,,,,4,5
29,2025-06-09 12:53:29.508393,2025-06-09 12:53:29.508412,,17EXV,SAFA GARIEP LFA,,,,,4,5
30,2025-06-09 12:53:29.510615,2025-06-09 12:53:29.510634,,8FIBY,SAFA MALETSWAI LFA,,,,,4,5
31,2025-06-09 12:53:29.512854,2025-06-09 12:53:29.512873,,UZ5LR,SAFA SENQU LFA,,,,,4,5
32,2025-06-09 12:53:29.519438,2025-06-09 12:53:29.519486,,T8D0F,SAFA KUYGA LFA,,,,,4,6
33,2025-06-09 12:53:29.521931,2025-06-09 12:53:29.521956,,6ERO4,SAFA LAROFA LFA,,,,,4,6
34,2025-06-09 12:53:29.524195,2025-06-09 12:53:29.524215,,5G70H,SAFA MOTHERWELL LFA,,,,,4,6
35,2025-06-09 12:53:29.526383,2025-06-09 12:53:29.526402,,OJ3LH,SAFA NAFA LFA,,,,,4,6
36,2025-06-09 12:53:29.528564,2025-06-09 12:53:29.528584,,YXDB1,SAFA NEW BRIGHTON LFA,,,,,4,6
37,2025-06-09 12:53:29.530693,2025-06-09 12:53:29.530712,,0X0Q0,SAFA NODEFA LFA,,,,,4,6
