id,created,modified,logo,safa_id,name,code,description,province_id
1,2025-06-09 12:53:29.406084,2025-06-09 12:53:29.406135,,,Alfred Nzo,,,1
2,2025-06-09 12:53:29.423688,2025-06-09 12:53:29.423717,,,Amathole,,,1
3,2025-06-09 12:53:29.446903,2025-06-09 12:53:29.446920,,,Buffalo City,,,1
4,2025-06-09 12:53:29.476449,2025-06-09 12:53:29.476466,,,Chris Hani,,,1
5,2025-06-09 12:53:29.503899,2025-06-09 12:53:29.503917,,,Joe Gqabi,,,1
6,2025-06-09 12:53:29.515502,2025-06-09 12:53:29.515518,,,Nelson Mandela Bay,,,1
7,2025-06-09 12:53:29.553394,2025-06-09 12:53:29.553423,,,OR Tambo,,,1
8,2025-06-09 12:53:29.569030,2025-06-09 12:53:29.569049,,,Sarah Baartman,,,1
9,2025-06-09 12:53:29.596442,2025-06-09 12:53:29.596460,,,Fezile Dabi,,,2
10,2025-06-09 12:53:29.611796,2025-06-09 12:53:29.611813,,,Lejweleputswa,,,2
11,2025-06-09 12:53:29.627724,2025-06-09 12:53:29.627743,,,Mangaung,,,2
12,2025-06-09 12:53:29.637990,2025-06-09 12:53:29.638009,,,Thabo Mofutsanyana,,,2
13,2025-06-09 12:53:29.655487,2025-06-09 12:53:29.655506,,,Xhariep,,,2
14,2025-06-09 12:53:29.668545,2025-06-09 12:53:29.668577,,,Ekurhuleni,,,3
15,2025-06-09 12:53:29.707078,2025-06-09 12:53:29.707095,,,Johannesburg,,,3
16,2025-06-09 12:53:29.738147,2025-06-09 12:53:29.738164,,,Sedibeng,,,3
17,2025-06-09 12:53:29.747118,2025-06-09 12:53:29.747134,,,Tshwane,,,3
18,2025-06-09 12:53:29.813968,2025-06-09 12:53:29.813995,,,West Rand,,,3
19,2025-06-09 13:20:51.670159,2025-06-09 13:20:51.670205,,,SAFA Amajuba,,,4
20,2025-06-09 13:20:51.675647,2025-06-09 13:20:51.675707,,,SAFA ETHEKWINI,,,4
21,2025-06-09 13:20:51.681479,2025-06-09 13:20:51.681524,,,Harry Gwala,,,4
22,2025-06-09 13:20:51.690118,2025-06-09 13:20:51.690152,,,SAFA ILEMBE,,,4
23,2025-06-09 13:20:51.695548,2025-06-09 13:20:51.695584,,,SAFA KING CETSHWAYO,,,4
24,2025-06-09 13:20:51.704432,2025-06-09 13:20:51.704468,,,SAFA UGU,,,4
25,2025-06-09 13:20:51.709567,2025-06-09 13:20:51.709604,,,SAFA UMGUNGUNDLOVU,,,4
26,2025-06-09 13:20:51.717901,2025-06-09 13:20:51.717936,,,SAFA UMKHANYAKHUDE,,,4
27,2025-06-09 13:20:51.722927,2025-06-09 13:20:51.722964,,,SAFA UMZINYATHI,,,4
28,2025-06-09 13:20:51.728033,2025-06-09 13:20:51.728069,,,SAFA UTHUKELA,,,4
29,2025-06-09 13:20:51.733060,2025-06-09 13:20:51.733095,,,SAFA ZULULAND,,,4
30,2025-06-09 13:38:32.427181,2025-06-09 13:38:32.427203,,,SAFA Capricorn,,,5
31,2025-06-09 13:38:32.430352,2025-06-09 13:38:32.430371,,,SAFA Mopani,,,5
32,2025-06-09 13:38:32.433486,2025-06-09 13:38:32.433513,,,SAFA Sekhukhune,,,5
33,2025-06-09 13:38:32.437294,2025-06-09 13:38:32.437318,,,SAFA Vhembe,,,5
34,2025-06-09 13:38:32.440345,2025-06-09 13:38:32.440363,,,SAFA Waterberg,,,5
35,2025-06-09 13:48:25.979480,2025-06-09 13:48:25.979509,,,SAFA Ehlanzeni,,,6
36,2025-06-09 13:48:25.983112,2025-06-09 13:48:25.983130,,,SAFA Gert Sibande,,,6
37,2025-06-09 13:48:25.986573,2025-06-09 13:48:25.986599,,,SAFA Nkangala,,,6
38,2025-06-09 13:58:49.572629,2025-06-09 13:58:49.572649,,,SAFA Bojanala,,,8
39,2025-06-09 13:58:49.575889,2025-06-09 13:58:49.575907,,,SAFA Dr Kenneth Kaunda,,,8
40,2025-06-09 13:58:49.578516,2025-06-09 13:58:49.578532,,,SAFA Dr Ruth Segomotsi Mompati,,,8
41,2025-06-09 13:58:49.581029,2025-06-09 13:58:49.581046,,,SAFA Ngaka Modiri Molema,,,8
42,2025-06-09 14:03:57.685701,2025-06-09 14:03:57.685745,,,SAFA Frances Baard,,,7
43,2025-06-09 14:03:57.691903,2025-06-09 14:03:57.691943,,,SAFA John Taolo Gaetsewe,,,7
44,2025-06-09 14:03:57.698581,2025-06-09 14:03:57.698616,,,SAFA Namakwa,,,7
45,2025-06-09 14:03:57.703529,2025-06-09 14:03:57.703564,,,SAFA Pixley ka Seme,,,7
46,2025-06-09 14:03:57.708447,2025-06-09 14:03:57.708483,,,SAFA ZF Mgcawu,,,7
47,2025-06-09 14:10:53.448217,2025-06-09 14:23:42.172433,,,SAFA Cape Town,,,9
48,2025-06-09 14:10:53.451802,2025-06-09 14:24:21.585236,,,SAFA Cape Winelands,,,9
49,2025-06-09 14:10:53.454754,2025-06-09 14:26:51.773961,,,SAFA Central Karoo,,,9
50,2025-06-09 14:10:53.457741,2025-06-09 14:27:32.209386,,,SAFA Eden,,,9
51,2025-06-09 14:10:53.461593,2025-06-09 14:27:46.914993,,,SAFA Overberg,,,9
52,2025-06-09 14:10:53.464521,2025-06-09 14:28:18.772075,,,SAFA West Coast,,,9
